LC NO.,LC 개설일,LC 만기일,LC 결제 금액,제조/판매,ORDER NO.,제지사,품명,평량,SHIPPER,BUYER,QUANTITY,MT,PRICE,AMOUNT,B/L,VESSEL,CTR NO.,CTR EA,환율,ETD,ETA,통관일,수입통관 발행일,수입통관 결제금액,결제일,발주서,계약서,선적서류,"통관서류
(선사 INVOICE)","통관서류
(면장,배차요청서)",원산지,월별 정리,비고,ETD TIMESTAMP,ETA TIMESTAMP,발주일,통관 완료
DP,,,,판,CS-241008.,OPT,NCR,,OPT,CHISAN,,41.416Mt,$1524.30,"$63,130.37",KMTCLCH5020479,SKY RAINBOW,FCIU7123244,2X40FT,,12/30,1/7,1/13,1/24,"₩9,335,470.0",,,https://drive.google.com/file/d/1SYuEoiLYnHF_voNypBi-f1Qm7fobyvr9/view?usp=drive_link,https://drive.google.com/file/d/1i18iURc66_yzZk3Kt0vBOScqpsyDxF8L/view?usp=drive_link,https://drive.google.com/file/d/17bpo-lYBrvgipjQtTezvr3bqQb69SjVU/view?usp=drive_link,,,24년10월,,,,10/15,FALSE
DP,,,,판,CS-241009.,OPT,THERMAL,62,OPT,신도에이스,64,34.56Mt,$1330.00,"$45,964.80",KMTCLCH5014462,KMTC TOKYO,TGHU5151497,1X40FT,"₩1,437.00",12/27,1/3,1/7,1/24,"₩6,816,250.0",1/6,,https://drive.google.com/file/d/1eRrm4z2Cm9Dl3on-9tzC1Hiu_Q50wHBP/view?usp=drive_link,https://drive.google.com/file/d/13YFkwou7JXP4IOarpXgsSLEuPU5Qcenn/view?usp=drive_link,https://drive.google.com/file/d/1KIjeCzlgUDilJBx7S_1B-ZDsSiXK2yvV/view?usp=drive_link,,,24년10월,,,,10/17,FALSE
다이에이통관,,,,판,CS-241010.,SNP,MGT,35,SNP,CHISAN,67,44.897Mt,$1250.00,"$56,121.25",KMTCBKK3512865,TS TIANJIN,FFAU4364390,2X40FT,,11/18,11/27,,,,,,https://drive.google.com/file/d/1EbZH3QpIFeNIoQriw8JdS31xOJCe3xCB/view?usp=drive_link,https://drive.google.com/file/d/1f9I-h0Bc5sC0eglt6CL0s-KB3Gidwby4/view?usp=drive_link,,,,24년10월,,,,10/17,FALSE
M04FQ2410NU00146,10/18,2/24,$35183.20,판,CS-241011.,ASIASYMBOL,FBB,295,APRIL FINE PAEPR TRADING,CHISAN,199,43.979Mt,$800.00,"$35,183.20",SPGRZHPTK017024,RIZHAO ORIENT,LYGU4030958,2X40FT,"₩1,428.70",11/10,11/11,11/13,11/29,"₩4,890,270.0",,,https://drive.google.com/file/d/1LOhFq50qgHr0vYZHlPpkxC2f6qgbWfqn/view?usp=drive_link,https://drive.google.com/file/d/1itA3E_6uXkOoSJKAvX1s1VmM8de51oH9/view?usp=drive_link,https://drive.google.com/file/d/1MpoeT6GahtfPgj6NNXZDI2SMY8YErXam/view?usp=drive_link,,,24년10월,,,,10/18,FALSE
DP,,,,제,CS-241012.,HOKUETSU,WF,52.3,HOKUETSU,CHISAN,50,43.018Mt,$980.00,"$42,157.64",113042041502,PANCON SUNSHINE,FCIU7460986,2X40FT,"₩1,474.70",12/18,12/28,1/2,1/24,"₩6,129,840.0",,,https://drive.google.com/file/d/1WGQWVDJeaLcJLe4-PzJv414pwitDks1H/view?usp=drive_link,https://drive.google.com/file/d/1xJjhOha6IEpEK-FX3mVJ7p-mrm5WgVzN/view?usp=drive_link,https://drive.google.com/file/d/1P3JhpXVFMPSCWMmagQrk77HOiYis4EAz/view?usp=drive_link,,,24년10월,,,,10/18,FALSE
M04FQ2410NU00153,10/23,4/8,$41118.30,제,CS-241013.,NTI,KRAFT,50,MARUBENI,CHISAN,49,42.39Mt,$970.00,"$41,118.30",KMTCSMZ0352321,PANCON SUCCESS,BMOU6814346,2X40FT,"₩1,468.30",12/18,12/25,12/26,1/24,"₩6,030,730.0",4/8,,https://drive.google.com/file/d/167LxXUONotoaV2pKdksfO5oFtzD6ZADD/view?usp=drive_link,https://drive.google.com/file/d/1Aq-V9mIZH7SolNVAinHpbWzkqb3_cSrj/view?usp=drive_link,https://drive.google.com/file/d/1YKLosqtw3p9cGnOqUQ0dLW92Rzw_W2Hx/view?usp=drive_link,,,24년10월,,,,10/18,FALSE
M04FQ2410NU00160,10/23,2/11,$93361.45,판,CS-241014.,APP,UWK,117,BOHUI,CHISAN,132,109.837Mt,$850.00,"$93,361.45",KMTCTAO7702444,SUNNY CANNA,BMOU6030869,5X40FT,"₩1,435.00",11/6,11/13,11/14,11/29,"₩12,973,340.0",2/11,,https://drive.google.com/file/d/1VdbYFc-OaXHXt7Qh_Z7PQcdPawBMWKUb/view?usp=drive_link,https://drive.google.com/file/d/1zQId35znwz_FB5ufLhiRHKTZ1OrJeEv9/view?usp=drive_link,https://drive.google.com/file/d/1qPppF2Qy7LGz88W7ofWa0g3VXtb_nnLv/view?usp=drive_link,,,24년10월,,,,10/18,FALSE
DP,,,,판,CS-241015.,SNP,MGI,30,SNP,POSCO 1ST,177,89.978Mt,$1260.00,"$113,372.28",KMTCBKK3520144,SAWASDEE,DFSU7692460,4X40FT,"₩1,398.10",11/19,11/27,11/27,12/30,"₩15,820,190.0",11/27,,,https://drive.google.com/file/d/1POUhxOHOujBfYCcQXzhXdg5cwy6ZWgjN/view?usp=drive_link,https://drive.google.com/file/d/1-Y15ogmH6bFwlaRaDZqSkp_d7FMqITQt/view?usp=drive_link,,,24년10월,,,,10/23,FALSE
DP,,,,판,CS-241016.,SNP,MGI,30,SNP,POSCO 2ND,106,66.694Mt,$1260.00,"$84,034.44",KMTCBKK3526143,SAWASDEE,FCIU7541748,3X40FT,"₩1,395.00",11/19,11/27,11/29,12/30,"₩11,726,330.0",11/27,,,https://drive.google.com/file/d/1Fmpl8YBAOz-hxG2uJHOyulycTJcC7OXb/view?usp=drive_link,https://drive.google.com/file/d/15jWm1Xp-kt-Ntq1utjA0PeXNf5ZWqM59/view?usp=drive_link,,,24년10월,,,,10/23,FALSE
M04FQ2411NU00040,11/5,2/19,$136303.86,판,CS-241017.,CHUNGHWA,WF,95,CHUNGHWA,CHISAN,134,177.018Mt,$770.00,"$136,303.86",EGLV003401600985,EVER CLEVER,ESGU9518620,8X40FT,"₩1,441.50",11/19,11/25,11/25,12/30,"₩19,133,050.0",2/19,,https://drive.google.com/file/d/1eytNWzhXHeMU2sWT-XPQO3dgyuxVEgTd/view?usp=drive_link,https://drive.google.com/file/d/18e5pkEOa2EiG_lIcGgVY_3JC6pctVcYC/view?usp=drive_link,https://drive.google.com/file/d/1eeYnvLov-x2oXUsJ9l9YqOSWi7fHz1Eq/view?usp=drive_link,,,24년10월,DW241006,,,10/24,FALSE
M04FQ2411NU00025,11/5,3/3,$52002.72,제,CS-241018.,CHUNGHWA,WF,90,CHUNGHWA,CHISAN,50,67.536Mt,$770.00,"$52,002.72",YMJAI202609515,YM INSTRUCTION,FCIU7563876,3X40FT,"₩1,417.80",11/27,11/28,12/2,12/30,"₩7,313,380.0",2/28,,https://drive.google.com/file/d/1LFmjpchJdUu9yAkkuOy4hbdZcf2cN_Av/view?usp=drive_link,https://drive.google.com/file/d/1cTzbwQavED-lfgPmDWPeElI2OjCfBXOz/view?usp=drive_link,https://drive.google.com/file/d/1gIqQqDIuzvwYkYItffTzD9TA5aNmoOCC/view?usp=drive_link,,,24년10월,DW241007,,,10/24,FALSE
M04FQ2411NU00032,11/5,2/19,$50321.04,판,CS-241019.,CHUNGHWA,WF,65,CHUNGHWA,CHISAN,75,65.352Mt,$770.00,"$50,321.04",EGLV003401600829,EVER CLEVER,EGSU9560039,3X40FT,"₩1,476.70",11/19,11/25,11/25,12/30,"₩7,064,250.0",2/19,,https://drive.google.com/file/d/1esLnajln73MxlS95eCx3tkakXmbKvhGk/view?usp=drive_link,https://drive.google.com/file/d/1Gn_dPuji0Z7I8Fau9HafKzL156kq8EhD/view?usp=drive_link,https://drive.google.com/file/d/1GjxyaDebbcUl9CS_RjbJt6rVEzChKD7c/view?usp=drive_link,,,24년10월,DW241008,,,10/24,FALSE
M04FQ2411NU00057,11/11,3/12,$66829.50,제,CS-241020.,ASIASYMBOL,WF,70,APRIL FINE PAEPR TRADING,CHISAN,88,89.106Mt,$750.00,"$66,829.50",MAEU246647906,GSL VINIA,SEKU4704568,4X40FT,"₩1,455.60",11/29,12/3,12/9,12/30,"₩9,394,080.0",3/12,,https://drive.google.com/file/d/1echTDuCuucOjsOtYa9Y5gW76OTdETWp7/view?usp=drive_link,https://drive.google.com/file/d/134-xdpcx2rAr6sQtpcvH5yG-JE0jyyXU/view?usp=drive_link,https://drive.google.com/file/d/1-uukfPAFK-7VfvurMJY2Mid_JbuIn0cv/view?usp=drive_link,,,24년10월,,,,10/25,FALSE
M04FQ2411NU00064,11/11,3/12,$16317.00,제,CS-241021.,ASIASYMBOL,WF,100,APRIL FINE PAEPR TRADING,CHISAN,14,21.756Mt,$750.00,"$16,317.00",MAEU246648015,GSL VINIA,HASU4427506,1X40FT,"₩1,455.90",11/29,12/3,12/9,12/30,"₩2,293,640.0",3/12,,https://drive.google.com/file/d/19yrjcYXxKZns52pJnKIfkdDt8Iv3BsbS/view?usp=drive_link,https://drive.google.com/file/d/1wUtT6UG_IYyUz4xOldgEU6jEY2GN-5hZ/view?usp=drive_link,https://drive.google.com/file/d/16EYCf0LfmE8roXsJMRizvlyEtQ0906ra/view?usp=drive_link,,,24년10월,,,,10/25,FALSE
M04FQ2411NU00071,11/11,3/12,$31335.00,제,CS-241022.,ASIASYMBOL,COPY,80,APRIL FINE PAEPR TRADING,CHISAN,36,41.78Mt,$750.00,"$31,335.00",MAEU246647976,GSL VINIA,PONU7544850,2X40FT,"₩1,455.90",11/29,12/3,12/9,12/30,"₩4,404,690.0",3/12,,https://drive.google.com/file/d/15rkkRRiRrwTLUsxYiKxnlF94zr_Kl6b-/view?usp=drive_link,https://drive.google.com/file/d/1kH5kbtQx5hLH7_0CjqwhiFu2UOOcfKlW/view?usp=drive_link,https://drive.google.com/file/d/1HF7YH7iyW1CGH1gv84fNgEMDB9k5RiLD/view?usp=drive_link,,,24년10월,,,,10/25,FALSE
M04FQ2411NU00089,11/11,3/17,$24999.59,판,CS-241023.,ASIASYMBOL,COPY,70,APRIL FINE PAEPR TRADING,한강인쇄,108,32.467Mt,$770.00,"$24,999.59",NSSLHGICC2401325,FENG NIAN,NSSU0061622,2X20FT,"₩1,421.00",11/27,12/7,12/11,12/30,"₩3,514,140.0",3/17,,https://drive.google.com/file/d/19UyUqz1By4aYGJguKl6beLulG3V1YOf3/view?usp=drive_link,https://drive.google.com/file/d/1GqXmqt5TjT2E6iF4ly_L5CMdTrC2VU1r/view?usp=drive_link,https://drive.google.com/file/d/1pMrTdzFeQ1wxQajZ15z_8zIgg_xdYeGY/view?usp=drive_link,,,24년10월,,,,10/25,FALSE
M04FQ2411NU00096,11/11,3/12,$16366.74,판,CS-241024.,ASIASYMBOL,COPY,70,APRIL FINE PAEPR TRADING,OKPNC,55,20.983Mt,$780.00,"$16,366.74",MAEU246647934,GSL VINIA,CAAU9031969,1X40FT,"₩1,455.70",11/29,12/3,12/9,12/30,"₩2,300,630.0",3/12,,https://drive.google.com/file/d/1bALcPm9S9p1jm2v4GKxgpmUh0-oHuriK/view?usp=drive_link,https://drive.google.com/file/d/19lChwPrwKyOXpwpmU-fXXk5w4o8bpVEC/view?usp=drive_link,https://drive.google.com/file/d/10CNIysiNl6EMUiDTlswrB8xlPdiFBK_V/view?usp=drive_link,,,24년10월,,,,10/25,FALSE
M04FQ2410NU00185,10/30,3/13,$53655.75,판,CS-241025.,APP,FBB,215/250,GOLD EAST,CHISAN,175,65.701Mt,$816.67,"$53,655.75",SITGQIIN059391,SITC KEELUNG,GAOU6820538,3X40FT,"₩1,454.60",12/6,12/11,12/12,12/30,"₩7,542,280.0",,,https://drive.google.com/file/d/1ppZkAfPYP0Oj8GcU6ExtdeGv3aVuNTWT/view?usp=drive_link,https://drive.google.com/file/d/1GTPQav1emV7QavXYjW8Wt_Yp57G_5HWK/view?usp=drive_link,https://drive.google.com/file/d/1n24uIqaVuVhlpj8a3YbYVn48crPeIHyv/view?usp=drive_link,,,24년10월,,,,10/25,FALSE
M04FQ2410NU00203,10/30,3/24,$26506.37,판,CS-241026.,APP,C2S,157/180,GOLDEAST,CHISAN,,33.132Mt,$800.02,"$26,506.37",YPGINCG001749,SITC HAKATA,TGCU0184695,2X20FT,"₩1,469.10",12/11,12/20,12/18,1/24,"₩3,787,010.0",3/24,,https://drive.google.com/file/d/1XZ55etwknFySEhls1FlElDDjHEBobcg9/view?usp=drive_link,https://drive.google.com/file/d/1x-6MYWg0_ZLzTqwlnCfohRxkLaKFXC1b/view?usp=drive_link,https://drive.google.com/file/d/1BFUyuyUsaXqg4-Xd37LuU4vgl0IYnexG/view?usp=drive_link,,,24년10월,HNKR2400056CC,,,10/28,FALSE
OFFER,,,,판,CS-241027.,OJI,KLB,170,OJI,DONGJU,102,89.16Mt,$445.00,"$39,676.20",NSSLNKHIC24Q0238,STAR VOYAGER,NSSU7058169,4X40FT,,12/19,12/28,,,,,,https://drive.google.com/file/d/1o6QUYBwLnkxcLZZxTgIA8znkH9zYzvlh/view?usp=drive_link,https://drive.google.com/file/d/1u35sE7aZUBT7VV2Mb831_3IAB1oRf6yF/view?usp=drive_link,,,,24년10월,,,,10/28,FALSE
TT20,,,,판,CS-241029.,YUEYANG,KRAFT,100,C&D,두레산업,40,20.573Mt,$950.00,"$19,544.35",MAEU248701443,HUA HANG,TIIU5594954,1X40FT,,1/8,1/22,1/31,2/21,"₩2,864,770.0",,,https://drive.google.com/file/d/1_tBzw8Z9RdSR9Eo780oo2zrdrGSnjU8G/view?usp=drive_link,https://drive.google.com/file/d/1c9aZLu2S2Hcb8i0OiTNsW6Ml8fKqk-XD/view?usp=drive_link,https://drive.google.com/file/d/1A1w9iRr5mIsCfePN_BAqhtvwV0F-kdUe/view?usp=drive_link,,,24년10월,"TW-YUEY241101-CS
11/5 4,180(1380.4)
12/27 15,260.8(1469.1)",,,10/31,FALSE
M04FQ2411NU00018,11/5,3/3,$35280.61,판,CS-241030.,CHUNGHWA,WF,67,CHUNGHWA,선문비지니스/에이치엠플러스,77,44.659Mt,$790.00,"$35,280.61",YMJAI202609290,KMTC ULSAN,SEGU5749372,2X40FT,"₩1,385.00",12/2,12/4,12/5,12/30,"₩4,961,180.0",2/28,,https://drive.google.com/file/d/1ARu6ay9L0vK086VnZ0_puiZ7EI3ESwB4/view?usp=drive_link,https://drive.google.com/file/d/1dxy3BI346OX-ac3Eo4rhS5y0btqFtgWr/view?usp=drive_link,https://drive.google.com/file/d/1BCjc1gigFMuIaLzrzzszZQ3j5U37Aohf/view?usp=drive_link,,,24년10월,DW241011,,,10/31,FALSE
M04FQ2411NU00114,11/12,4/14,$31220.43,제,CS-241103.,YUEYANG,WF,75,ROXCEL,CHISAN,38,45.247Mt,$690.00,"$31,220.43",SITGYUIING06222,YUAN HAI,SITU9064404,2X40FT,"₩1,459.90",1/13,,2/14,3/21,"₩4,569,230.0",4/14,,https://drive.google.com/file/d/1EvHrtVraiyHHJkG4Npy9nRq4lTKJ1Uyy/view?usp=drive_link,https://drive.google.com/file/d/14x9DW0UnJ5Zpo4hbFKA4jBNMyFlYDPoa/view?usp=drive_link,https://drive.google.com/file/d/129V1rO7nwJWqVvdcRk46CiuWYsx0U35_/view?usp=drive_link,,,24년11월,,,,11/5,FALSE
OFFER,,,,판,CS-241104.,VISY,KLB,170/225/300,VISY,DONGJU,,22.0Mt,,,,,,,,,,,,,,,,,,,,24년11월,,,,11/7,FALSE
DP,,,,제,CS-241105.,NPI,WF,64,NPI,CHISAN,109,89.023Mt,$850.01,"$75,670.23",KMTCYAT0087410,SUNNY MAPLE,FCIU7146194,4X40FT,"₩1,437.40",1/15,1/21,1/21,2/21,"₩11,281,410.0",1/24,,https://drive.google.com/file/d/1MWCokJNTFngjAKSnmZwvcdxf0qgTJXmG/view?usp=drive_link,https://drive.google.com/file/d/1D46HC6FjXFYUMG6S9M2Y6WNElTBYwxer/view?usp=drive_link,https://drive.google.com/file/d/11Rn2S9X3BVvoEC8aMiUY3ZMitNfG_D5T/view?usp=drive_link,,,24년11월,,,,11/11,FALSE
M04FQ2411NU00121,11/12,3/12,$30625.14,판,CS-241106.,CHUNGHWA,WF,67,CHUNGHWA,에이치엠플러스/희망노트,69,38.766Mt,$790.00,"$30,625.14",A02EA13183,WAN HAI 317,IAAU1000822,2X40FT,"₩1,455.60",12/9,12/10,12/12,12/30,"₩4,364,080.0",3/12,,https://drive.google.com/file/d/1Wvnnl4at5qwbtJ4F7X1pIaI1Ca5wNE-S/view?usp=drive_link,https://drive.google.com/file/d/1-SNVz4xCnd7uHr5yT42j0UVobGmQa_X6/view?usp=drive_link,https://drive.google.com/file/d/1_9EOuoBFtXfgoxLRDgf_KP_HdRcXxjZC/view?usp=drive_link,,,24년11월,,,,11/8,FALSE
DP,,,,판,CS-241107.,LINTEC,WHITE GP,50,LINTEC,CHISAN,150,43.573Mt,$1785.02,"$77,778.70",HB250100038,DONGJIN VENUS,SKHU6360517,2X40FT,"₩1,438.90",1/11,1/21,1/24,2/21,"₩11,481,490.0",1/23,,https://drive.google.com/file/d/1_X-wG89TPBfZx0R_AjBP-QTGd-B5mcGs/view?usp=drive_link,https://drive.google.com/file/d/14w4WxeIewOszrZKFcZVXDgmdghbrtxGj/view?usp=drive_link,https://drive.google.com/file/d/1cgpn7olDcDPz_s9p_7Dn4kL4inipu-72/view?usp=drive_link,,,24년11월,,,,11/12,FALSE
DP,,,,제,CS-241108.,HOKUETSU,MG,30/35,HOKUETSU,CHISAN,49,41.124Mt,$1110.00,"$45,647.64",CKCOUKB0018922,TAN CANG GLORY,BEAU5127398,2X40FT,"₩1,437.60",1/17,1/21,1/21,2/21,"₩6,783,030.0",1/24,,https://drive.google.com/file/d/1vo0nUTV9arsZRdEWm6tTdYhRiwNRsxwe/view?usp=drive_link,https://drive.google.com/file/d/1pF2EslqgRuSXe2dJSQkiz-UhQEpQg5FK/view?usp=drive_link,https://drive.google.com/file/d/1B9conyHxLX0dwSv5HR9wvmEcw3Uzqzo0/view?usp=drive_link,,,24년11월,,,,11/13,FALSE
DP,,,,제,CS-241109.,CPC,WF,52.3,TPPI,CHISAN,49,45.22Mt,$960.01,"$43,411.83",KMTCSEN0012822,SUNNY PALM,TXGU5028457,2X40FT,"₩1,451.40",2/5,2/14,2/14,3/21,"₩6,320,850.0",1/20,,https://drive.google.com/file/d/1O09b7MTpk5gWK3YT3xdQKo4EzYZNpXmD/view?usp=drive_link,https://drive.google.com/file/d/1ZZLIO6atTU0CYPDpMXmhfn8C2xXSff1c/view?usp=drive_link,https://drive.google.com/file/d/15bXGxZG-RYqxKW33Fliyw4hIWL7YSbXA/view?usp=drive_link,,,24년11월,"12/13 13,023.55(1435.3)
1/20 11,856.59(1391)
1/20 18,531.69(1451.4)",,,11/13,FALSE
M04FQ2411NU00146,11/15,3/11,$37681.35,판,CS-241110.,APP,UWK,117,BOHUI,CHISAN,47,44.331Mt,$850.00,"$37,681.35",SITTAGIN415031,REVERENCE,BMOU6854797,2X40FT,"₩1,458.80",12/4,12/5,12/11,12/30,"₩5,319,620.0",3/11,,https://drive.google.com/file/d/1PTaKJnMh0YW0BV8Les14q_dP6ptKX23e/view?usp=drive_link,https://drive.google.com/file/d/1NjGNJcJrvEFpfTkdlhaZ1y_hXxKz__Q2/view?usp=drive_link,https://drive.google.com/file/d/106mFsEh1fLKPhnGoxLHAGOymyq5iOZjW/view?usp=drive_link,,,24년11월,,,,11/8,FALSE
M04FQ2411NU00192,11/28,4/22,$81901.44,제,CS-241111.,NTI,KRAFT,50,ITOCHU,CHISAN,132,85.314Mt,$960.00,"$81,901.44",NSSLKSMIC25Q0003,SUNNY VIOLET,DYLU5118271,4X40FT,"₩1,421.00",1/12,1/29,1/24,2/21,"₩12,194,420.0",4/22,,https://drive.google.com/file/d/1SucVQ1hne5wtI4bhEtiUbe6a6JM7j3qD/view?usp=drive_link,https://drive.google.com/file/d/1GHoHLsgm-68j_q1aLiB_Ql6FzG6rL9Ky/view?usp=drive_link,https://drive.google.com/file/d/1My9QGUuq32FzxPF77MxZL1q8yEk_y0-H/view?usp=drive_link,,,24년11월,,,,11/18,FALSE
DP,,,,판,CS-241112.,OPT,NCR,,OPT,CHISAN,,62.126Mt,$1560.19,"$96,928.52",KMTCLCH5049335,KMTC TOKYO,GESU6626974,3X40FT,"₩1,460.80",1/20,1/28,2/3,2/21,"₩14,059,210.0",2/4,,https://drive.google.com/file/d/1dYfF_T-8bycXegOkrV-6OtT-4M4y_bP9/view?usp=drive_link,https://drive.google.com/file/d/1R2B6kAtjFvBRW_se0xo__qcG9qKnAQDN/view?usp=drive_link,https://drive.google.com/file/d/1yAhP7G6o6bR6HcjBXtEFz_Yt7nrrhD_z/view?usp=drive_link,,,24년11월,,,,11/19,FALSE
